nohup: ignoring input
Images: 1803460. Masks: 12000
Images: 36500. Masks: 12000
[TRAIN] Epoch[1(1000/225432)]; Loss_G:1.029578; Loss_D:0.667467; PSNR:18.9450; time:0.9651 sec
[TRAIN] Epoch[1(1020/225432)]; Loss_G:0.649834; Loss_D:0.671693; PSNR:22.0654; time:0.9835 sec
[TRAIN] Epoch[1(1040/225432)]; Loss_G:0.999165; Loss_D:0.651156; PSNR:20.2719; time:1.1508 sec
[TRAIN] Epoch[1(1060/225432)]; Loss_G:0.605326; Loss_D:0.697120; PSNR:22.4258; time:1.1342 sec
[TRAIN] Epoch[1(1080/225432)]; Loss_G:0.773961; Loss_D:0.677967; PSNR:21.7802; time:1.0352 sec
[TRAIN] Epoch[1(1100/225432)]; Loss_G:0.671213; Loss_D:0.688122; PSNR:21.8994; time:0.9988 sec
[TRAIN] Epoch[1(1120/225432)]; Loss_G:0.879865; Loss_D:0.662101; PSNR:20.9259; time:1.0720 sec
[TRAIN] Epoch[1(1140/225432)]; Loss_G:0.711704; Loss_D:0.665497; PSNR:22.1012; time:1.0500 sec
[TRAIN] Epoch[1(1160/225432)]; Loss_G:0.708040; Loss_D:0.683462; PSNR:21.7792; time:1.1919 sec
[TRAIN] Epoch[1(1180/225432)]; Loss_G:0.689390; Loss_D:0.689924; PSNR:22.2637; time:0.9678 sec
[TRAIN] Epoch[1(1200/225432)]; Loss_G:0.911935; Loss_D:0.667745; PSNR:20.5916; time:0.9643 sec
[TRAIN] Epoch[1(1220/225432)]; Loss_G:1.090144; Loss_D:0.663999; PSNR:19.6487; time:1.2191 sec
[TRAIN] Epoch[1(1240/225432)]; Loss_G:0.692490; Loss_D:0.679174; PSNR:22.5562; time:1.1429 sec
[TRAIN] Epoch[1(1260/225432)]; Loss_G:1.091354; Loss_D:0.668607; PSNR:18.6675; time:1.0133 sec
[TRAIN] Epoch[1(1280/225432)]; Loss_G:0.486108; Loss_D:0.698170; PSNR:23.7400; time:1.1650 sec
[TRAIN] Epoch[1(1300/225432)]; Loss_G:0.543954; Loss_D:0.691923; PSNR:23.5676; time:1.0127 sec
[TRAIN] Epoch[1(1320/225432)]; Loss_G:0.974673; Loss_D:0.679983; PSNR:19.4749; time:0.8611 sec
[TRAIN] Epoch[1(1340/225432)]; Loss_G:0.799713; Loss_D:0.664081; PSNR:21.5510; time:1.2481 sec
[TRAIN] Epoch[1(1360/225432)]; Loss_G:0.692363; Loss_D:0.674707; PSNR:21.5011; time:1.0990 sec
[TRAIN] Epoch[1(1380/225432)]; Loss_G:0.670829; Loss_D:0.680774; PSNR:22.2755; time:0.9462 sec
[TRAIN] Epoch[1(1400/225432)]; Loss_G:0.705048; Loss_D:0.672668; PSNR:21.8325; time:1.0148 sec
[TRAIN] Epoch[1(1420/225432)]; Loss_G:0.691814; Loss_D:0.672938; PSNR:22.6504; time:1.0086 sec
[TRAIN] Epoch[1(1440/225432)]; Loss_G:1.218044; Loss_D:0.643336; PSNR:18.8483; time:1.0047 sec
[TRAIN] Epoch[1(1460/225432)]; Loss_G:0.292680; Loss_D:0.693136; PSNR:26.4204; time:1.0887 sec
[TRAIN] Epoch[1(1480/225432)]; Loss_G:0.434977; Loss_D:0.685461; PSNR:24.2213; time:1.1141 sec
[TRAIN] Epoch[1(1500/225432)]; Loss_G:0.829310; Loss_D:0.660995; PSNR:21.0557; time:0.9726 sec
[TRAIN] Epoch[1(1520/225432)]; Loss_G:0.855536; Loss_D:0.669918; PSNR:20.6788; time:1.2355 sec
[TRAIN] Epoch[1(1540/225432)]; Loss_G:0.936117; Loss_D:0.669156; PSNR:20.2230; time:0.9910 sec
[TRAIN] Epoch[1(1560/225432)]; Loss_G:0.659337; Loss_D:0.672329; PSNR:23.6594; time:1.0409 sec
[TRAIN] Epoch[1(1580/225432)]; Loss_G:0.492322; Loss_D:0.681327; PSNR:24.8253; time:1.0651 sec
[TRAIN] Epoch[1(1600/225432)]; Loss_G:0.509455; Loss_D:0.687572; PSNR:23.0163; time:1.1018 sec
[TRAIN] Epoch[1(1620/225432)]; Loss_G:0.678740; Loss_D:0.671558; PSNR:21.8745; time:0.8423 sec
[TRAIN] Epoch[1(1640/225432)]; Loss_G:0.663276; Loss_D:0.670018; PSNR:23.3239; time:1.1064 sec
[TRAIN] Epoch[1(1660/225432)]; Loss_G:0.669334; Loss_D:0.681736; PSNR:22.9025; time:0.8964 sec
[TRAIN] Epoch[1(1680/225432)]; Loss_G:0.899634; Loss_D:0.665218; PSNR:20.2922; time:1.1248 sec
[TRAIN] Epoch[1(1700/225432)]; Loss_G:0.505925; Loss_D:0.686608; PSNR:24.4504; time:1.0608 sec
[TRAIN] Epoch[1(1720/225432)]; Loss_G:0.613627; Loss_D:0.692936; PSNR:25.0002; time:1.0445 sec
[TRAIN] Epoch[1(1740/225432)]; Loss_G:1.110869; Loss_D:0.649268; PSNR:19.8410; time:1.1064 sec
[TRAIN] Epoch[1(1760/225432)]; Loss_G:0.804667; Loss_D:0.675190; PSNR:21.3936; time:1.0440 sec
